,antecedants,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
116,frozenset({'SAINT HONORE                  '}),frozenset({'Can                           '}),0.006256625776162351,0.028699076177495078,0.000544260184764501,0.08698940998487141,3.0310874624279998,0.00036470080500033844,1.0638440938635885
117,frozenset({'Can                           '}),frozenset({'SAINT HONORE                  '}),0.028699076177495078,0.006256625776162351,0.000544260184764501,0.01896437994722955,3.0310874624279993,0.00036470080500033844,1.0129534075127502
118,frozenset({'Cold Medication               '}),frozenset({'SM<=500ML                     '}),0.0007477661668938362,0.013289413902771467,0.0006531122217174011,0.8734177215189872,65.72281726712106,0.00064317484762306,7.795013630168098
119,frozenset({'SM<=500ML                     '}),frozenset({'Cold Medication               '}),0.013289413902771467,0.0007477661668938362,0.0006531122217174011,0.049145299145299144,65.72281726712106,0.00064317484762306,1.050898978503132
120,frozenset({'Corn                          '}),frozenset({'Potato                        '}),0.0017321671967287598,0.01080474784189005,0.00023190216568226563,0.133879781420765,12.390828863373615,0.00021318653590161782,1.1420992501257674
121,frozenset({'Potato                        '}),frozenset({'Corn                          '}),0.01080474784189005,0.0017321671967287598,0.00023190216568226563,0.021462987297415678,12.390828863373615,0.00021318653590161782,1.0201635909981506
122,frozenset({'LOAF                          '}),frozenset({'DRY CAKE                      '}),0.010359874299560807,0.011599840981372104,0.0006010525518703619,0.05801735952489721,5.001565074733856,0.0004808796574084529,1.049276405476128
123,frozenset({'DRY CAKE                      '}),frozenset({'LOAF                          '}),0.011599840981372104,0.010359874299560807,0.0006010525518703619,0.05181558547531619,5.001565074733856,0.0004808796574084529,1.0437211480601447
124,frozenset({'MINI RANGE                    '}),frozenset({'DRY CAKE                      '}),0.0035163940633045586,0.011599840981372104,0.00028396183552930487,0.08075370121130553,6.961621399895558,0.00024317222356713108,1.075228869913383
125,frozenset({'DRY CAKE                      '}),frozenset({'MINI RANGE                    '}),0.011599840981372104,0.0035163940633045586,0.00028396183552930487,0.02447980416156671,6.961621399895558,0.00024317222356713108,1.0214894680681057
